id;Timestamp;FPS;ComponentType;ComponentID;SensorType;SensorID;Value
0;13661884;0;atigpu;0;Clock;1;150
0;13661884;0;amdcpu;0;Clock;2;1406.449
0;13661884;0;ram;N/A;Load;0;35.89281
0;13661884;0;amdcpu;0;Clock;3;1406.449
0;13661884;0;amdcpu;0;Load;2;0
0;13661884;0;ram;N/A;Data;0;2.858761
0;13661884;0;lpc;it8728f;Voltage;7;3.264
0;13661884;0;lpc;it8728f;Voltage;8;3.264
0;13661884;0;hdd;0;Temperature;0;33
0;13661884;0;amdcpu;0;Load;7;0
0;13661884;0;lpc;it8728f;Control;0;0
0;13661884;0;amdcpu;0;Load;8;6.25
0;13661884;0;amdcpu;0;Clock;8;1406.449
0;13661884;0;amdcpu;0;Clock;4;1406.449
0;13661884;0;amdcpu;0;Load;3;0
0;13661884;0;amdcpu;0;Clock;5;1406.449
0;13661884;0;amdcpu;0;Load;4;0
0;13661884;0;hdd;0;Load;0;36.18206
0;13661884;0;atigpu;0;Temperature;0;48
0;13661884;0;amdcpu;0;Load;0;0.78125
0;13661884;0;lpc;it8728f;Control;2;0
0;13661884;0;amdcpu;0;Clock;1;1406.449
0;13661884;0;amdcpu;0;Clock;0;200.9213
0;13661884;0;atigpu;0;Voltage;0;0.95
0;13661884;0;lpc;it8728f;Temperature;2;17
0;13661884;0;lpc;it8728f;Control;1;0
0;13661884;0;lpc;it8728f;Voltage;5;1.212
0;13661884;0;ram;N/A;Data;1;5.105957
0;13661884;0;lpc;it8728f;Voltage;1;1.476
0;13661884;0;lpc;it8728f;Voltage;3;2.004
0;13661884;0;lpc;it8728f;Voltage;2;2.016
0;13661884;0;atigpu;0;Control;0;36
0;13661884;0;atigpu;0;Clock;0;300
0;13661884;0;atigpu;0;Load;0;0
0;13661884;0;amdcpu;0;Load;1;0
0;13661884;0;lpc;it8728f;Temperature;0;34
0;13661884;0;lpc;it8728f;Temperature;1;37
0;13661884;0;lpc;it8728f;Fan;0;3292.683
0;13661884;0;lpc;it8728f;Fan;2;968.4362
0;13661884;0;amdcpu;0;Clock;6;1406.449
