id;Timestamp;FPS;ComponentType;ComponentID;SensorType;SensorID;Value
0;14477909;0;atigpu;0;Clock;1;150
0;14477909;0;amdcpu;0;Clock;2;1406.449
0;14477909;0;ram;N/A;Load;0;36.36524
0;14477909;0;amdcpu;0;Clock;3;1406.449
0;14477909;0;amdcpu;0;Load;2;6.25
0;14477909;0;ram;N/A;Data;0;2.896389
0;14477909;0;lpc;it8728f;Voltage;7;3.264
0;14477909;0;lpc;it8728f;Voltage;8;3.264
0;14477909;0;hdd;0;Temperature;0;34
0;14477909;0;amdcpu;0;Load;7;0
0;14477909;0;lpc;it8728f;Control;0;0
0;14477909;0;amdcpu;0;Load;8;3.076923
0;14477909;0;amdcpu;0;Clock;8;1406.449
0;14477909;0;amdcpu;0;Clock;4;1406.449
0;14477909;0;amdcpu;0;Load;3;0
0;14477909;0;amdcpu;0;Clock;5;1406.449
0;14477909;0;amdcpu;0;Load;4;0
0;14477909;0;hdd;0;Load;0;36.18314
0;14477909;0;atigpu;0;Temperature;0;60
0;14477909;0;amdcpu;0;Load;0;1.165867
0;14477909;0;lpc;it8728f;Control;2;0
0;14477909;0;amdcpu;0;Clock;1;1406.449
0;14477909;0;amdcpu;0;Clock;0;200.9213
0;14477909;0;atigpu;0;Voltage;0;0.95
0;14477909;0;lpc;it8728f;Temperature;2;22
0;14477909;0;lpc;it8728f;Control;1;0
0;14477909;0;lpc;it8728f;Voltage;5;1.212
0;14477909;0;ram;N/A;Data;1;5.068329
0;14477909;0;lpc;it8728f;Voltage;1;1.464
0;14477909;0;lpc;it8728f;Voltage;3;2.004
0;14477909;0;lpc;it8728f;Voltage;2;2.004
0;14477909;0;atigpu;0;Control;0;41
0;14477909;0;atigpu;0;Clock;0;300
0;14477909;0;atigpu;0;Load;0;0
0;14477909;0;amdcpu;0;Load;1;0
0;14477909;0;lpc;it8728f;Temperature;0;34
0;14477909;0;lpc;it8728f;Temperature;1;43
0;14477909;0;lpc;it8728f;Fan;0;4383.117
0;14477909;0;lpc;it8728f;Fan;2;976.8452
0;14477909;0;amdcpu;0;Clock;6;1406.449
0;14477909;0;amdcpu;0;Temperature;0;22.625
0;14477909;0;lpc;it8728f;Voltage;6;2.232
0;14477909;0;amdcpu;0;Load;5;0
0;14477909;0;amdcpu;0;Clock;7;1406.449
0;14477909;0;amdcpu;0;Load;6;0
0;14477909;0;lpc;it8728f;Voltage;0;0.924
0;14477909;0;atigpu;0;Fan;0;1919
0;14477909;0;lpc;it8728f;Voltage;4;1.992
1;1077795647;6;atigpu;0;Clock;1;1250
1;1077795647;6;amdcpu;0;Clock;2;4018.428
1;1077795647;6;ram;N/A;Load;0;36.75151
1;1077795647;6;amdcpu;0;Clock;3;4018.428
